trial,imv,exp_error,prev_exp_error,previous_uncertainty_y,current_uncertainty,endpoint_theta,fb_int
20,4.0318461330992506,17.464974164523937,0.0,no_uncertainty,high_uncertainty,0.8101389014821052,-2.6627961264202185
21,7.94869966801329,17.611264009503003,17.464974164523937,high_uncertainty,high_uncertainty,4.753390015390437,-2.74164539741912
22,8.467662155892285,16.11116904948363,17.611264009503003,high_uncertainty,high_uncertainty,6.053357354831803,-2.1068296094936727
23,4.463121428887661,18.682419188137544,16.11116904948363,high_uncertainty,unlimited_uncertainty,4.686293947579273,-0.07398313365845866
24,0.15934619951366358,10.217554131445802,18.682419188137544,unlimited_uncertainty,no_uncertainty,1.151095163491604,1.0734398614764729
25,2.6746188919100575,6.952716019894773,10.217554131445802,no_uncertainty,low_uncertainty,2.432976002454936,-0.3917665605206935
26,1.251835767608,19.079184049128635,6.952716019894773,low_uncertainty,low_uncertainty,3.3446718254420347,2.772178288734409
27,5.852594102906863,20.201067121916285,19.079184049128635,low_uncertainty,no_uncertainty,4.288661487780956,-1.5041632780038725
28,0.14206139382621075,10.775001426791853,20.201067121916285,no_uncertainty,high_uncertainty,0.7525799667739506,0.25809963850522877
29,5.35646546870943,9.68872035175298,10.775001426791853,high_uncertainty,high_uncertainty,1.7806722369590062,-2.8789446173583855
30,4.006663503609175,14.752047197202703,9.68872035175298,high_uncertainty,high_uncertainty,0.7272248379607191,-2.754952282246464
31,4.237789099779235,18.644867993576277,14.752047197202703,high_uncertainty,high_uncertainty,1.5780664285604047,-2.0684569416724656
32,8.738973396610277,22.0377756286153,18.644867993576277,high_uncertainty,no_uncertainty,4.2387500530972915,-4.1597672439918085
33,1.3842458267655502,10.87646419818165,22.0377756286153,no_uncertainty,high_uncertainty,3.6960878284004792,2.7640903876824865
34,1.8817169006644434,19.825656344348186,10.87646419818165,high_uncertainty,no_uncertainty,1.0256671526156822,-0.667306394982262
35,7.1727583109179704,17.285412820746462,19.825656344348186,no_uncertainty,high_uncertainty,7.173206568970002,-0.2298754136125325
36,2.016423595024733,13.971583792719349,17.285412820746462,high_uncertainty,no_uncertainty,1.6492798136470412,-0.4069504266474695
37,8.591941819323452,15.497265785654559,13.971583792719349,no_uncertainty,high_uncertainty,7.867295755633933,-0.8895902964300717
38,2.4321524396646623,7.159669625587119,15.497265785654559,high_uncertainty,no_uncertainty,1.1797157004349401,-0.5746122393828585
39,5.104724271255577,11.054562964804662,7.159669625587119,no_uncertainty,high_uncertainty,5.106813594860029,0.011653227829924617
40,13.50538779590893,26.125125058370223,11.054562964804662,high_uncertainty,unlimited_uncertainty,4.93306431117162,-8.276303051999022
41,9.302509996988334,24.04755139583257,26.125125058370223,unlimited_uncertainty,no_uncertainty,6.816914979916845,-2.591487374021071
42,0.5265534866035466,13.043493346223116,24.04755139583257,no_uncertainty,low_uncertainty,1.2505497086941233,0.6026306751141135
43,1.9716925360639266,3.911627460506649,13.043493346223116,low_uncertainty,unlimited_uncertainty,0.9483756036160429,-0.7453496884167663
44,1.3513761336755294,16.42402357494938,3.911627460506649,unlimited_uncertainty,low_uncertainty,3.2001350057640536,1.5080227384244296
45,4.871893914291533,17.186437300506025,16.42402357494938,low_uncertainty,no_uncertainty,7.194105432129803,1.6385655022134813
46,3.2204043788315175,14.849580690700863,17.186437300506025,no_uncertainty,low_uncertainty,6.157358096759779,2.6512584641966583
47,4.090649291961185,11.166532488049274,14.849580690700863,low_uncertainty,low_uncertainty,5.264805537921347,0.8224685485187138
48,7.28590282147276,20.165668169254683,11.166532488049274,low_uncertainty,unlimited_uncertainty,9.432336306179792,1.7560687302477334
49,9.090143196331226,14.758847380692444,20.165668169254683,unlimited_uncertainty,no_uncertainty,10.614154737520224,1.3703634378667857
50,6.261838253302756,15.411953425547505,14.758847380692444,no_uncertainty,no_uncertainty,4.953025311794335,-1.1039214351245903
51,8.897674931035326,20.45036761133759,15.411953425547505,no_uncertainty,high_uncertainty,9.830115447293736,0.8681120487429723
52,4.1414273569546225,7.792277541308382,20.45036761133759,high_uncertainty,low_uncertainty,7.331793788928778,2.4962469452318032
53,6.293849781369033,20.639283608885474,7.792277541308382,low_uncertainty,high_uncertainty,8.210279368421766,1.422857937665043
54,8.615202236987031,17.156056142770304,20.639283608885474,high_uncertainty,no_uncertainty,8.34057205962236,-0.48488968885007466
55,4.941860222505966,21.15719962337134,17.156056142770304,no_uncertainty,unlimited_uncertainty,4.626081754968524,-0.15754357628077287
56,5.914804912188643,15.366344633905648,21.15719962337134,unlimited_uncertainty,unlimited_uncertainty,5.8981148388017175,-0.043473822424687114
57,5.055061540893092,17.729348314645115,15.366344633905648,unlimited_uncertainty,low_uncertainty,5.88405445037229,0.8210141708384384
58,4.898004736080097,14.806090533175327,17.729348314645115,low_uncertainty,low_uncertainty,5.0242424669246475,0.08899575976104757
59,7.147241138574159,18.171021111441284,14.806090533175327,low_uncertainty,high_uncertainty,8.942195351134586,1.6112127565779275
60,9.482318768656214,18.7045624096459,18.171021111441284,high_uncertainty,unlimited_uncertainty,8.401965795143866,-0.9735954766167509
61,1.1902592767183506,16.618941326710797,18.7045624096459,unlimited_uncertainty,high_uncertainty,2.671177767149956,1.2435518210702696
62,10.931824247432104,27.73457765899046,16.618941326710797,high_uncertainty,low_uncertainty,6.953055697447795,-3.855003441508103
63,16.13552112191084,25.30457039464907,27.73457765899046,low_uncertainty,high_uncertainty,13.936300040554002,-2.2040440182581733
64,18.137781134080086,35.40083453381744,25.30457039464907,high_uncertainty,no_uncertainty,14.925757106964298,-3.2881093500758425
65,14.970258913498427,26.700298944362935,35.40083453381744,no_uncertainty,unlimited_uncertainty,14.553670574670278,-0.9657202286349502
66,11.30428542333658,18.854292780577918,26.700298944362935,unlimited_uncertainty,no_uncertainty,8.581314359489255,-3.023858874191049
67,8.368157588434528,22.669683039595718,18.854292780577918,no_uncertainty,low_uncertainty,6.87776438034318,-1.7544387654723437
68,13.406115623875067,19.5374980366813,22.669683039595718,low_uncertainty,no_uncertainty,13.396064178492864,-0.35661939244002383
69,1.5288386841965291,19.471480786705307,19.5374980366813,no_uncertainty,no_uncertainty,0.44860306906753067,-0.9313464162042493
70,8.275947622459768,10.23971417451118,19.471480786705307,no_uncertainty,low_uncertainty,8.10827981274862,-0.22963618606043212
71,1.4662623149311287,17.29889240597728,10.23971417451118,low_uncertainty,unlimited_uncertainty,2.839135701444519,1.0815085700741633
72,4.749063334274439,14.463455832289352,17.29889240597728,unlimited_uncertainty,high_uncertainty,1.909746402656296,-2.5332863319694354
73,1.9266382645518831,15.560026580299134,14.463455832289352,high_uncertainty,unlimited_uncertainty,1.5605065986742943,-0.4245122430331634
74,6.810016619851282,19.365309352502646,15.560026580299134,unlimited_uncertainty,no_uncertainty,8.143758044628584,0.9277998282166067
75,2.8066384176865427,10.499712258240901,19.365309352502646,no_uncertainty,high_uncertainty,2.0405095843885164,-0.7928410949546816
76,3.7138602165479426,15.127797642442479,10.499712258240901,high_uncertainty,low_uncertainty,5.306189541115074,1.3730369466723715
77,3.797677373956759,16.245937574610977,15.127797642442479,low_uncertainty,no_uncertainty,5.054486666117498,1.0041711850624893
78,5.476660238689618,20.30053365080588,16.245937574610977,no_uncertainty,low_uncertainty,5.311381088397553,-0.13489173186961523
79,2.0193536948148676,14.208897643313774,20.30053365080588,low_uncertainty,unlimited_uncertainty,1.0757182059059147,-1.1799795331250635
80,5.678896795869534,21.672097010448326,14.208897643313774,unlimited_uncertainty,high_uncertainty,5.864549388297348,-0.07158799023052609
81,2.13480316044037,13.913930302487206,21.672097010448326,high_uncertainty,low_uncertainty,2.939713409012043,0.991387248802539
82,5.424879946830956,15.472049641041254,13.913930302487206,low_uncertainty,no_uncertainty,4.947269015410214,-0.5036273805688865
83,8.426715131505688,16.36076653616313,15.472049641041254,no_uncertainty,unlimited_uncertainty,12.231259778007711,3.2288577214134477
84,6.879315247795603,17.317582630562292,16.36076653616313,unlimited_uncertainty,high_uncertainty,8.923053290233455,1.772398592091946
85,5.024007901498521,12.031839894158095,17.317582630562292,high_uncertainty,high_uncertainty,5.373804335546865,0.4058031319811164
86,4.009784192628047,17.403112277467635,12.031839894158095,high_uncertainty,no_uncertainty,4.145063009422927,0.05815389920755365
87,3.248738727343394,15.877991328032882,17.403112277467635,no_uncertainty,unlimited_uncertainty,4.472680159253926,0.8012565096707931
88,3.761249926989123,18.458653863800784,15.877991328032882,unlimited_uncertainty,high_uncertainty,3.9263921080064534,-0.0726110385757579
89,10.75206887563769,25.85973684688225,18.458653863800784,high_uncertainty,low_uncertainty,10.193561230668706,-0.57187441265053
90,4.23118912999422,20.674261515785837,25.85973684688225,low_uncertainty,low_uncertainty,4.903486901354924,0.5323015410248502
91,13.640938889166591,28.317311060547347,20.674261515785837,low_uncertainty,no_uncertainty,11.651459290651886,-1.9371349918081933
92,9.925220826183448,22.00323259650125,28.317311060547347,no_uncertainty,unlimited_uncertainty,8.276532524076657,-1.6870340212036155
93,9.51880825254915,19.238342225947545,22.00323259650125,unlimited_uncertainty,unlimited_uncertainty,10.794547841896346,0.9867854129295921
94,2.6314363650362367,10.343092175453325,19.238342225947545,unlimited_uncertainty,unlimited_uncertainty,3.562258422103781,0.6945074122346284
95,10.767124665359646,23.554725396232726,10.343092175453325,unlimited_uncertainty,low_uncertainty,12.99595444407997,1.9603554962745733
96,2.0245146053759413,11.259659015445308,23.554725396232726,low_uncertainty,unlimited_uncertainty,2.7088345086658165,0.42718095842829484
97,5.669321708171921,15.252047754046888,11.259659015445308,unlimited_uncertainty,unlimited_uncertainty,2.9750879701681043,-2.6780324984494683
98,3.3288630179162197,15.710373880493,15.252047754046888,unlimited_uncertainty,low_uncertainty,4.142021089209152,0.7587429218595645
99,2.909438309250092,17.318031100740576,15.710373880493,low_uncertainty,no_uncertainty,3.589325491870909,0.44945179510314404
100,2.510602905268712,14.637119414472595,17.318031100740576,no_uncertainty,unlimited_uncertainty,5.927954785212805,2.976029848892921
101,10.848194286492586,17.5667974499346,14.637119414472595,unlimited_uncertainty,no_uncertainty,10.568903547186366,-0.6076735688756116
102,3.9482335752901605,13.447211262605782,17.5667974499346,no_uncertainty,low_uncertainty,4.799439999242452,0.5368500065962536
103,0.21328866017870496,10.909095029820937,13.447211262605782,low_uncertainty,unlimited_uncertainty,4.70723004609826,3.7900096452825665
104,1.4277197658635998,11.159840808516787,10.909095029820937,unlimited_uncertainty,no_uncertainty,1.9731379799612512,0.13263714693043482
105,10.780441401167963,25.476736864634052,11.159840808516787,no_uncertainty,high_uncertainty,10.826320619710856,-0.12934966535169679
106,10.384620717370609,24.76112088825613,25.476736864634052,high_uncertainty,no_uncertainty,10.648423834059017,0.18821633492018464
107,10.49779928093966,22.978942124343643,24.76112088825613,no_uncertainty,unlimited_uncertainty,14.220893677596266,3.1699363770257065
